customer_id,campaign_id,activity_date,opened,clicked,purchased,revenue,age_group,region,customer_type
2450,2,12/21/2025,0,0,0,0,36-50,South,Returning
2990,1,11/14/2025,0,0,0,0,36-50,South,Returning
2630,1,8/13/2025,0,0,0,0,50+,West,New
5211,1,9/25/2025,0,0,0,0,26-35,Midwest,Returning
6078,2,8/26/2025,0,0,0,0,36-50,South,Returning
870,2,10/5/2025,1,0,0,0,36-50,East,Returning
3307,2,8/3/2025,0,0,0,0,36-50,Midwest,Returning
111,2,11/10/2025,0,0,0,0,50+,West,Returning
3618,2,9/21/2025,0,0,0,0,36-50,East,New
1987,1,10/28/2025,1,0,0,0,18-25,West,Returning
2687,1,10/24/2025,1,0,0,0,36-50,West,Returning
3653,1,10/28/2025,0,0,0,0,50+,West,Returning
2590,1,11/14/2025,0,0,0,0,18-25,West,Returning
3153,2,10/27/2025,0,0,0,0,36-50,South,Returning
6119,1,10/1/2025,0,0,0,0,36-50,South,Returning
6483,2,10/14/2025,0,0,0,0,26-35,South,New
47,2,10/22/2025,0,0,0,0,50+,Midwest,New
3023,1,11/23/2025,0,0,0,0,36-50,Midwest,Returning
6776,2,9/24/2025,0,0,0,0,18-25,South,Returning
4244,2,8/24/2025,0,0,0,0,18-25,Midwest,Returning
1643,2,8/15/2025,0,0,0,0,18-25,East,Returning
4749,2,8/2/2025,0,0,0,0,50+,West,Returning
1160,2,10/17/2025,1,0,0,0,18-25,West,Returning
175,2,11/10/2025,0,0,0,0,36-50,South,Returning
5060,2,8/27/2025,0,0,0,0,36-50,South,New
4122,1,10/6/2025,0,0,0,0,26-35,West,New
6053,2,9/5/2025,1,0,0,0,26-35,West,Returning
2759,2,12/10/2025,0,0,0,0,36-50,South,New
6835,1,12/11/2025,0,0,0,0,26-35,South,New
3371,1,12/21/2025,0,0,0,0,26-35,East,New
5905,1,12/2/2025,1,0,0,0,26-35,West,New
803,1,12/4/2025,0,0,0,0,26-35,East,New
778,1,10/9/2025,0,0,0,0,26-35,South,New
6263,1,10/7/2025,0,0,0,0,26-35,Midwest,Returning
6672,2,8/24/2025,0,0,0,0,26-35,East,Returning
7540,2,11/13/2025,0,0,0,0,26-35,West,Returning
2597,2,8/27/2025,0,0,0,0,36-50,Midwest,New
179,1,8/30/2025,0,0,0,0,26-35,West,Returning
7840,2,12/18/2025,1,0,0,0,18-25,East,New
4811,1,7/3/2025,0,0,0,0,36-50,Midwest,Returning
1977,1,7/22/2025,0,0,0,0,36-50,East,Returning
6111,2,11/18/2025,0,0,0,0,50+,South,Returning
7232,2,11/1/2025,0,0,0,0,36-50,South,New
2279,2,11/18/2025,0,0,0,0,26-35,West,Returning
6158,2,9/23/2025,0,0,0,0,36-50,West,Returning
6301,2,7/2/2025,1,0,0,0,50+,East,Returning
4014,2,8/23/2025,1,0,0,0,26-35,East,New
5059,2,12/3/2025,1,0,0,0,26-35,South,New
2157,1,10/28/2025,1,0,0,0,18-25,South,New
7434,1,12/6/2025,0,0,0,0,50+,West,Returning
7865,2,7/2/2025,0,0,0,0,26-35,South,Returning
7849,2,8/27/2025,0,0,0,0,50+,South,Returning
5898,1,11/1/2025,0,0,0,0,36-50,Midwest,Returning
339,1,7/4/2025,0,0,0,0,36-50,East,Returning
2932,1,9/19/2025,0,0,0,0,26-35,South,Returning
3560,1,12/5/2025,0,0,0,0,26-35,East,New
7679,1,7/30/2025,1,0,0,0,26-35,South,Returning
4376,2,7/13/2025,1,0,0,0,36-50,East,Returning
4290,1,10/23/2025,0,0,0,0,36-50,West,Returning
1174,1,8/11/2025,1,1,0,0,26-35,East,Returning
6350,1,8/3/2025,1,0,0,0,26-35,West,New
2691,2,10/6/2025,1,0,0,0,36-50,West,Returning
735,1,10/18/2025,0,0,0,0,26-35,West,New
7902,1,11/24/2025,1,0,0,0,36-50,Midwest,New
1521,2,7/19/2025,1,0,0,0,18-25,West,Returning
130,2,11/18/2025,0,0,0,0,50+,Midwest,Returning
623,1,10/29/2025,1,0,0,0,26-35,Midwest,New
3621,2,10/31/2025,0,0,0,0,26-35,South,Returning
824,1,8/12/2025,0,0,0,0,26-35,South,New
6742,2,11/27/2025,1,0,0,0,26-35,East,New
4100,1,7/23/2025,1,0,0,0,26-35,West,New
2592,2,11/1/2025,1,1,0,0,26-35,East,Returning
26,2,7/25/2025,0,0,0,0,26-35,East,New
